Date;Open;High;Low;Close;Volume
"2025-01-13 01:00:00";3266.0953628314;3335.1935020261;2920.5927049425;3135.4997200989;39911742769.2
"2025-01-14 01:00:00";3135.6702801681;3254.7515220954;3126.8060094801;3223.6846292978;22847737223.63
"2025-01-15 01:00:00";3223.6846886379;3473.1015449816;3186.1398329913;3450.5376123693;25991614660.71
"2025-01-16 01:00:00";3450.305230733;3458.180650757;3265.6758172563;3308.3452690441;26395516474.98
"2025-01-17 01:00:00";3308.1910716378;3525.5433592391;3307.3109709423;3474.107275649;28200207229.11
"2025-01-18 01:00:00";3473.5637639912;3493.060140111;3228.3336912167;3305.7895906773;32420094038.2
"2025-01-19 01:00:00";3305.3979695991;3444.2066474488;3127.6230137731;3208.9643743573;57242875398.88
"2025-01-20 01:00:00";3208.9338275588;3444.2827459666;3147.5229798998;3278.0353650873;52383187335.91
"2025-01-21 01:00:00";3278.4361082006;3365.7781281242;3202.4925822768;3327.4062612887;32804001145.6
"2025-01-22 01:00:00";3327.2374136111;3364.7460014243;3223.3859900143;3240.2245269346;22171220980.66
"2025-01-23 01:00:00";3240.4753073635;3346.7325186278;3184.0667965696;3334.7142017869;32419520084.49
"2025-01-24 01:00:00";3334.8083465932;3424.8998535904;3277.3231574435;3309.554998792;25578325670.73
"2025-01-25 01:00:00";3309.7117569653;3349.2983595287;3270.2731113874;3317.2695057658;13744316078.39
"2025-01-26 01:00:00";3317.2915898188;3359.3124804246;3233.9221508927;3236.1341830842;14471528756.78
"2025-01-27 01:00:00";3235.8552197218;3250.3965059762;3024.091649225;3178.9205191584;39412486481.55
"2025-01-28 01:00:00";3179.0869218388;3222.7374082538;3040.0923133513;3077.1126333315;20718206193.57
"2025-01-29 01:00:00";3076.380017521;3177.9805623929;3055.1815883672;3112.998910374;22727786058.31
"2025-01-30 01:00:00";3113.2899117718;3282.9862695081;3093.1238207439;3247.7799513503;19958405782.39
"2025-01-31 01:00:00";3247.8671705984;3437.5689837467;3214.9355101578;3298.2651884844;30128115902.13
"2025-02-01 01:00:00";3298.8223501537;3329.6551659404;3103.9189869704;3118.3286253641;19917507078.5
"2025-02-02 01:00:00";3118.6116927808;3161.8942509515;2755.4747161084;2868.6928684244;42060930305.44
"2025-02-03 01:00:00";2868.0786325622;2919.4772778708;2159.2805472236;2884.5666311078;92453553253.49
"2025-02-04 01:00:00";2883.8184480283;2888.249973705;2636.1657920424;2735.0512076664;48795275984.79
"2025-02-05 01:00:00";2735.2257599192;2824.4002452398;2701.1049959141;2787.7789694742;31960764447.39
"2025-02-06 01:00:00";2787.6586259853;2857.1419983154;2662.445884065;2688.4008590972;29500645692.02
"2025-02-07 01:00:00";2688.897410239;2798.0288447888;2564.9681842454;2622.2111776681;29526663418.39
"2025-02-08 01:00:00";2623.0018923393;2665.4845163946;2591.7785058427;2632.308332463;17059263074.01
"2025-02-09 01:00:00";2632.5781153429;2695.2224396452;2530.4358200444;2628.7211134175;17517088275.7
"2025-02-10 01:00:00";2628.6502482734;2692.8086863671;2564.0185430528;2661.1668048351;19414208112.74
"2025-02-11 01:00:00";2661.315754875;2724.9023095725;2565.397275361;2602.7820070465;21156550491.95
"2025-02-12 01:00:00";2602.8281094306;2794.8673942088;2551.1746066302;2736.9020036463;26919387954.35
"2025-02-13 01:00:00";2737.028655675;2756.4433329237;2615.6676678024;2675.9025200229;19481004624.97
"2025-02-14 01:00:00";2675.9395139342;2790.0236747888;2666.2680202999;2726.0916324155;17732289901.14
"2025-02-15 01:00:00";2726.074681712;2738.6811731312;2668.5316681696;2693.5597988453;10803019356.54
"2025-02-16 01:00:00";2693.5623832114;2724.09637428;2655.2975549889;2663.3158479393;10593602116.57
"2025-02-17 01:00:00";2663.2294764262;2848.7842279959;2640.1820642565;2743.1997499049;24170425078.31
"2025-02-18 01:00:00";2743.022951119;2754.6768040462;2606.9003104344;2669.3387495962;23004152927.66
"2025-02-19 01:00:00";2669.2133059543;2735.9176615063;2656.3756964386;2715.7709077319;15272401902.95
"2025-02-20 01:00:00";2715.6826750023;2770.0304289613;2708.2159584491;2740.3865429063;15917259320.11
"2025-02-21 01:00:00";2740.0221610783;2842.827045024;2616.919474609;2659.6555266804;31441524620.79
"2025-02-22 01:00:00";2660.0357886077;2797.0578254615;2653.8675001682;2764.0293093467;16403164396.91
"2025-02-23 01:00:00";2764.0310516293;2850.6104583106;2746.7736322033;2821.3102005204;20493767269.49
"2025-02-24 01:00:00";2820.4563582902;2839.0100874571;2478.8993296499;2513.8211930964;29127380459.41
"2025-02-25 01:00:00";2514.2110107832;2529.6690961025;2326.6321339592;2493.592433124;40044790246.26
"2025-02-26 01:00:00";2493.381561102;2503.4222049707;2255.0548728937;2331.4526094027;28815111322.9
"2025-02-27 01:00:00";2331.5102477674;2378.0873196872;2230.4483376131;2305.4843934633;24286213447.07
"2025-02-28 01:00:00";2305.560103006;2310.9492015051;2076.1698644908;2237.9052417047;35737904666.91
"2025-03-01 01:00:00";2237.9421065758;2279.8731430896;2144.0900574163;2216.6433281519;16135258238.92
"2025-03-02 01:00:00";2216.5217501798;2548.8118448763;2175.3215669952;2519.6944727218;34854193845.11
"2025-03-03 01:00:00";2519.530960837;2522.3166107566;2097.0762840734;2145.5738939222;31473561910.03
"2025-03-04 01:00:00";2145.6529493211;2220.3585208568;1996.7675487924;2170.015168597;33935738380.02
"2025-03-05 01:00:00";2169.9867232695;2272.7972549273;2156.0994383452;2241.9773218864;22105432726.58
"2025-03-06 01:00:00";2241.9065602636;2319.3961490391;2177.6768972608;2202.4768379958;18509069101.5
"2025-03-07 01:00:00";2202.4981831134;2254.2325328969;2103.4727004982;2138.9874273084;22425792863.03
"2025-03-08 01:00:00";2139.7978520685;2232.3271588921;2107.7279967202;2201.5102217124;10533204814.2
"2025-03-09 01:00:00";2201.7086640568;2210.3136151092;1991.1934490119;2015.5091088434;16103964993.72
"2025-03-10 01:00:00";2015.4304177963;2150.7062873051;1812.7668746905;1861.1513909157;35005066441.55
"2025-03-11 01:00:00";1859.7776755424;1961.797777114;1760.9417913836;1919.8449490468;30898385862.7
"2025-03-12 01:00:00";1919.6647848332;1954.5711142399;1832.0190276304;1908.9826851467;22898872950.77
"2025-03-13 01:00:00";1909.0154311269;1919.6882440931;1823.5254513829;1862.9696474371;17977225564.11
"2025-03-14 01:00:00";1862.9979774279;1945.0914456822;1861.1059079287;1909.4675210747;12122715282.13
"2025-03-15 01:00:00";1909.5281040834;1955.2383657619;1904.9657496776;1937.3946766174;6456484590.53
"2025-03-16 01:00:00";1937.3847751486;1940.4744246466;1863.4890594037;1887.4350177086;9292997637.67
"2025-03-17 01:00:00";1887.4491655955;1951.6259387436;1880.4843522;1927.0029027556;10436892087.1
"2025-03-18 01:00:00";1927.0057012509;1935.1819459255;1872.5088616552;1932.5434086744;10170844745.64
"2025-03-19 01:00:00";1932.5446028077;2068.7643992791;1928.2495156751;2057.7491339808;20065206265.54
"2025-03-20 01:00:00";2057.9512076438;2067.4837399502;1952.2433302258;1982.0998943118;13217865781.89
